É”,deep,void ratio,water content,X,Y,UU,CU,CUBar,CD
40,9.45,33.7,0.94,-122.4698563,-114.9771347,0,0,0,1
39.9,6.2,44.5,1.213,-122.4698563,-114.9771347,0,0,0,1
16.7,9.6,50.7,1.347,77.65274811,-9.2609272,0,1,0,0
14.1,11.6,64.3,1.728,77.65274811,-9.2609272,0,1,0,0
14.5,13.6,68.3,1.804,77.65274811,-9.2609272,0,1,0,0
17.9,15.6,66.7,1.792,77.65274811,-9.2609272,0,1,0,0
15.8,17.6,58.2,1.55,77.65274811,-9.2609272,0,1,0,0
20.2,19.6,46.5,1.251,77.65274811,-9.2609272,0,1,0,0
37.7,11.5,39,1.05,-122.4698563,-114.9771347,0,0,0,1
20.8,16.425,51.2,1.347,77.65274811,-9.2609272,0,1,0,0
19.1,18.425,61.2,1.614,77.65274811,-9.2609272,0,1,0,0
18.4,20.425,63.8,1.679,77.65274811,-9.2609272,0,1,0,0
18.8,22.425,63.7,1.675,77.65274811,-9.2609272,0,1,0,0
19,24.4,57.7,1.524,77.65274811,-9.2609272,0,1,0,0
18.2,26.4,40.8,1.091,77.65274811,-9.2609272,0,1,0,0
34,4.25,19.2,0.766,-122.4698563,-114.9771347,0,0,0,1
40.3,7.825,17.3,0.583,-122.4698563,-114.9771347,0,0,0,1
41.6,47.4,17.5,0.663,-122.4698563,-114.9771347,0,0,0,1
33.8,7.4,21.6,0.674,-122.4698563,-114.9771347,0,0,0,1
40.3,8.175,20.4,0.663,-122.4698563,-114.9771347,0,0,0,1
34.6,9.55,24.2,0.934,-122.4698563,-114.9771347,0,0,0,1
38.4,7.575,23.7,0.925,-122.4698563,-114.9771347,0,0,0,1
35.9,9,45.5,1.263,77.65274811,-9.2609272,0,0,0,1
35.2,8.75,30,0.888,-122.4698563,-114.9771347,0,0,0,1
37,3.825,10.8,0.353,-75.6231308,38.1353569,0,0,0,1
32.6,8.6,13.1,0.606,-122.4698563,-114.9771347,0,0,0,1
37.4,10.4,29,0.853,-122.4698563,-114.9771347,0,0,0,1
40.9,6.7,21.3,0.662,-122.4698563,-114.9771347,0,0,0,1
41.3,11.825,27.5,0.836,-122.4698563,-114.9771347,0,0,0,1
40.1,8.5,18,0.53,-122.4698563,-114.9771347,0,0,0,1
24.9,7.5,41.8,1.049,-122.4698563,-114.9771347,0,0,0,1
37.1,9.5,29.7,0.888,-122.4698563,-114.9771347,0,0,0,1
46.2,9.5,19.5,0.701,-122.4698563,-114.9771347,0,0,0,1
36,6.575,29.6,0.816,-122.4698563,-114.9771347,0,0,0,1
41.5,9.45,20.9,0.606,-122.4698563,-114.9771347,0,0,0,1
36.7,14.4,50.6,1.28,77.65274811,-9.2609272,0,0,0,1
0,35.4,77.5,1.956,77.65274811,-9.2609272,1,0,0,0
0,5.15,24.6,0.668,-122.4698563,-114.9771347,1,0,0,0
36.1,7.3,27.9,0.85,-122.4698563,-114.9771347,0,0,0,1
